Year   Month     Day    Hour  Minute  Second              HGI_X(km)             HGI_Y(km)             HGI_Z(km)
2020      09      23      00      00      00             26471742.1711        -17426253.98          1158551.868
2020      09      23      00      01      00             26470877.3236        -17421534.57          1158233.449
2020      09      23      00      02      00             26470012.0796        -17416814.89          1157915.012
2020      09      23      00      03      00             26469146.4388        -17412094.95          1157596.559
2020      09      23      00      04      00             26468280.4012        -17407374.75          1157278.087
2020      09      23      00      05      00             26467413.9666        -17402654.29          1156959.599
2020      09      23      00      06      00              26466547.135        -17397933.57          1156641.093
2020      09      23      00      07      00             26465679.9062        -17393212.59           1156322.57
2020      09      23      00      08      00             26464812.2801        -17388491.35          1156004.029
2020      09      23      00      09      00             26463944.2567        -17383769.84          1155685.471
2020      09      23      00      10      00             26463075.8357        -17379048.07          1155366.896
2020      09      23      00      11      00             26462207.0171        -17374326.05          1155048.303
2020      09      23      00      12      00             26461337.8007        -17369603.76          1154729.693
2020      09      23      00      13      00             26460468.1865        -17364881.21          1154411.066
2020      09      23      00      14      00             26459598.1744         -17360158.4          1154092.421
2020      09      23      00      15      00             26458727.7642        -17355435.33          1153773.759
2020      09      23      00      16      00             26457856.9558        -17350711.99           1153455.08
2020      09      23      00      17      00             26456985.7491         -17345988.4          1153136.383
2020      09      23      00      18      00              26456114.144        -17341264.55          1152817.669
2020      09      23      00      19      00             26455242.1404        -17336540.43          1152498.937
2020      09      23      00      20      00             26454369.7381        -17331816.05          1152180.188
2020      09      23      00      21      00             26453496.9371        -17327091.41          1151861.422
2020      09      23      00      22      00             26452623.7372        -17322366.51          1151542.638
2020      09      23      00      23      00             26451750.1384        -17317641.35          1151223.837
2020      09      23      00      24      00             26450876.1405        -17312915.93          1150905.019
2020      09      23      00      25      00             26450001.7434        -17308190.24          1150586.183
2020      09      23      00      26      00              26449126.947         -17303464.3           1150267.33
2020      09      23      00      27      00             26448251.7511        -17298738.09          1149948.459
2020      09      23      00      28      00             26447376.1557        -17294011.62          1149629.571
2020      09      23      00      29      00             26446500.1607        -17289284.89          1149310.666
2020      09      23      00      30      00             26445623.7659         -17284557.9          1148991.744
2020      09      23      00      31      00             26444746.9712        -17279830.65          1148672.804
2020      09      23      00      32      00             26443869.7766        -17275103.14          1148353.846
