time,HGI_X(km),HGI_Y(km),HGI_Z(km)
1579824005,34355366.66,-9820795.251,627262.0131
1579824065,34353670.66,-9816621.139,626982.3041
1579824125,34351974.3,-9812446.924,626702.5885
1579824185,34350277.58,-9808272.605,626422.8663
1579824245,34348580.5,-9804098.185,626143.1376
1579824305,34346883.06,-9799923.661,625863.4023
1579824365,34345185.25,-9795749.035,625583.6605
1579824425,34343487.09,-9791574.306,625303.9121
1579824485,34341788.57,-9787399.474,625024.1571
1579824545,34340089.69,-9783224.54,624744.3956
1579824605,34338390.45,-9779049.503,624464.6276
1579824665,34336690.85,-9774874.364,624184.853
1579824725,34334990.89,-9770699.122,623905.0718
1579824785,34333290.57,-9766523.777,623625.2841
1579824845,34331589.88,-9762348.33,623345.4899
1579824905,34329888.84,-9758172.78,623065.689
1579824965,34328187.44,-9753997.128,622785.8817
1579825025,34326485.67,-9749821.374,622506.0678
1579825085,34324783.55,-9745645.516,622226.2474
1579825145,34323081.06,-9741469.557,621946.4204
1579825205,34321378.22,-9737293.495,621666.5869
1579825265,34319675.01,-9733117.33,621386.7468
1579825325,34317971.44,-9728941.064,621106.9002
1579825385,34316267.51,-9724764.694,620827.0471
1579825445,34314563.22,-9720588.223,620547.1875
1579825505,34312858.57,-9716411.649,620267.3213
1579825565,34311153.55,-9712234.973,619987.4485
1579825625,34309448.18,-9708058.195,619707.5693
1579825685,34307742.44,-9703881.314,619427.6835
1579825745,34306036.34,-9699704.331,619147.7912
1579825805,34304329.88,-9695527.246,618867.8924
1579825865,34302623.06,-9691350.058,618587.987
1579825925,34300915.88,-9687172.769,618308.0752
1579825985,34299208.34,-9682995.377,618028.1568
1579826045,34297500.43,-9678817.883,617748.2318
1579826105,34295792.16,-9674640.287,617468.3004
1579826165,34294083.53,-9670462.589,617188.3625
1579826225,34292374.54,-9666284.789,616908.418
1579826285,34290665.18,-9662106.887,616628.467
1579826345,34288955.47,-9657928.882,616348.5095
1579826405,34287245.39,-9653750.776,616068.5455
1579826465,34285534.95,-9649572.568,615788.575
1579826525,34283824.15,-9645394.258,615508.598
1579826585,34282112.98,-9641215.845,615228.6144
1579826645,34280401.45,-9637037.331,614948.6244
1579826705,34278689.56,-9632858.715,614668.6279
1579826765,34276977.31,-9628679.997,614388.6248
1579826825,34275264.69,-9624501.177,614108.6153
1579826885,34273551.71,-9620322.255,613828.5992
1579826945,34271838.37,-9616143.232,613548.5767
1579827005,34270124.67,-9611964.106,613268.5477
1579827065,34268410.6,-9607784.879,612988.5121
1579827125,34266696.17,-9603605.55,612708.4701
1579827185,34264981.38,-9599426.119,612428.4216
1579827245,34263266.22,-9595246.587,612148.3666
1579827305,34261550.7,-9591066.952,611868.3051
1579827365,34259834.82,-9586887.216,611588.2371
1579827425,34258118.57,-9582707.379,611308.1626
1579827485,34256401.96,-9578527.44,611028.0817
1579827545,34254684.99,-9574347.399,610747.9943
1579827605,34252967.65,-9570167.256,610467.9003
1579827665,34251249.95,-9565987.012,610187.7999
1579827725,34249531.88,-9561806.666,609907.693
1579827785,34247813.46,-9557626.219,609627.5797
1579827845,34246094.66,-9553445.67,609347.4599
1579827905,34244375.51,-9549265.02,609067.3335
1579827965,34242655.99,-9545084.268,608787.2008
1579828025,34240936.1,-9540903.415,608507.0615
1579828085,34239215.86,-9536722.46,608226.9158
1579828145,34237495.24,-9532541.404,607946.7636
1579828205,34235774.27,-9528360.247,607666.6049
1579828265,34234052.93,-9524178.988,607386.4398
1579828325,34232331.22,-9519997.627,607106.2682
1579828385,34230609.15,-9515816.166,606826.0901
1579828445,34228886.72,-9511634.603,606545.9056
1579828505,34227163.92,-9507452.938,606265.7146
1579828565,34225440.76,-9503271.173,605985.5172
1579828625,34223717.23,-9499089.306,605705.3133
1579828685,34221993.34,-9494907.338,605425.103
1579828745,34220269.08,-9490725.268,605144.8862
1579828805,34218544.46,-9486543.098,604864.6629
1579828865,34216819.47,-9482360.826,604584.4332
1579828925,34215094.12,-9478178.453,604304.197
1579828985,34213368.4,-9473995.979,604023.9544
1579829045,34211642.32,-9469813.404,603743.7054
1579829105,34209915.87,-9465630.728,603463.4499
1579829165,34208189.06,-9461447.951,603183.1879
1579829225,34206461.88,-9457265.072,602902.9195
1579829285,34204734.33,-9453082.093,602622.6447
1579829345,34203006.43,-9448899.013,602342.3634
1579829405,34201278.15,-9444715.831,602062.0757
1579829465,34199549.51,-9440532.549,601781.7816
1579829525,34197820.5,-9436349.165,601501.481
1579829585,34196091.13,-9432165.681,601221.174
1579829645,34194361.39,-9427982.096,600940.8606
1579829705,34192631.29,-9423798.41,600660.5407
1579829765,34190900.82,-9419614.623,600380.2144
1579829825,34189169.98,-9415430.735,600099.8817
1579829885,34187438.78,-9411246.747,599819.5425
1579829945,34185707.21,-9407062.657,599539.1969
1579830005,34183975.28,-9402878.467,599258.8449
1579830065,34182242.98,-9398694.176,598978.4865
1579830125,34180510.31,-9394509.784,598698.1216
1579830185,34178777.28,-9390325.292,598417.7504
1579830245,34177043.88,-9386140.699,598137.3727
1579830305,34175310.11,-9381956.005,597856.9886
1579830365,34173575.97,-9377771.21,597576.5981
1579830425,34171841.47,-9373586.315,597296.2011
1579830485,34170106.61,-9369401.32,597015.7978
1579830545,34168371.37,-9365216.223,596735.3881
1579830605,34166635.77,-9361031.026,596454.9719
1579830665,34164899.8,-9356845.729,596174.5493
1579830725,34163163.47,-9352660.331,595894.1204
1579830785,34161426.77,-9348474.832,595613.685
1579830845,34159689.7,-9344289.234,595333.2432
1579830905,34157952.26,-9340103.534,595052.7951
1579830965,34156214.46,-9335917.734,594772.3405
1579831025,34154476.29,-9331731.834,594491.8795
1579831085,34152737.75,-9327545.833,594211.4121
1579831145,34150998.84,-9323359.732,593930.9384
1579831205,34149259.57,-9319173.531,593650.4582
1579831265,34147519.93,-9314987.229,593369.9717
1579831325,34145779.92,-9310800.827,593089.4787
1579831385,34144039.54,-9306614.324,592808.9794
1579831445,34142298.79,-9302427.722,592528.4737
1579831505,34140557.68,-9298241.019,592247.9616
1579831565,34138816.2,-9294054.216,591967.4431
1579831625,34137074.35,-9289867.312,591686.9182
1579831685,34135332.13,-9285680.309,591406.387
1579831745,34133589.55,-9281493.205,591125.8494
1579831805,34131846.59,-9277306.001,590845.3053
1579831865,34130103.27,-9273118.697,590564.755
1579831925,34128359.58,-9268931.293,590284.1982
1579831985,34126615.52,-9264743.789,590003.6351
1579832045,34124871.09,-9260556.185,589723.0656
1579832105,34123126.3,-9256368.48,589442.4897
1579832165,34121381.13,-9252180.676,589161.9075
1579832225,34119635.6,-9247992.772,588881.3188
1579832285,34117889.7,-9243804.768,588600.7239
1579832345,34116143.43,-9239616.663,588320.1225
1579832405,34114396.78,-9235428.459,588039.5148
1579832465,34112649.77,-9231240.155,587758.9008
1579832525,34110902.4,-9227051.751,587478.2803
1579832585,34109154.65,-9222863.247,587197.6535
1579832645,34107406.53,-9218674.644,586917.0204
1579832705,34105658.04,-9214485.94,586636.3809
1579832765,34103909.19,-9210297.137,586355.7351
1579832825,34102159.96,-9206108.234,586075.0829
1579832885,34100410.37,-9201919.231,585794.4243
1579832945,34098660.4,-9197730.129,585513.7594
1579833005,34096910.07,-9193540.927,585233.0882
1579833065,34095159.37,-9189351.625,584952.4106
1579833125,34093408.29,-9185162.223,584671.7266
1579833185,34091656.85,-9180972.722,584391.0364
1579833245,34089905.04,-9176783.121,584110.3397
1579833305,34088152.85,-9172593.421,583829.6368
1579833365,34086400.3,-9168403.621,583548.9275
1579833425,34084647.38,-9164213.721,583268.2118
1579833485,34082894.08,-9160023.722,582987.4899
1579833545,34081140.42,-9155833.623,582706.7616
1579833605,34079386.38,-9151643.425,582426.0269
1579833665,34077631.98,-9147453.127,582145.2859
1579833725,34075877.2,-9143262.73,581864.5386
1579833785,34074122.06,-9139072.234,581583.785
1579833845,34072366.54,-9134881.638,581303.0251
1579833905,34070610.65,-9130690.943,581022.2588
1579833965,34068854.4,-9126500.148,580741.4862
1579834025,34067097.77,-9122309.254,580460.7073
1579834085,34065340.77,-9118118.261,580179.922
1579834145,34063583.4,-9113927.168,579899.1305
1579834205,34061825.66,-9109735.976,579618.3326
1579834265,34060067.54,-9105544.685,579337.5284
1579834325,34058309.06,-9101353.295,579056.7179
1579834385,34056550.2,-9097161.805,578775.9011
1579834445,34054790.98,-9092970.217,578495.078
1579834505,34053031.38,-9088778.529,578214.2486
1579834565,34051271.41,-9084586.742,577933.4128
1579834625,34049511.07,-9080394.856,577652.5708
1579834685,34047750.36,-9076202.87,577371.7224
1579834745,34045989.27,-9072010.786,577090.8678
1579834805,34044227.82,-9067818.603,576810.0068
1579834865,34042465.99,-9063626.32,576529.1396
1579834925,34040703.79,-9059433.939,576248.266
1579834985,34038941.22,-9055241.459,575967.3862
1579835045,34037178.27,-9051048.879,575686.5
1579835105,34035414.96,-9046856.201,575405.6076
1579835165,34033651.27,-9042663.424,575124.7089
1579835225,34031887.21,-9038470.548,574843.8039
1579835285,34030122.78,-9034277.573,574562.8926
1579835345,34028357.98,-9030084.499,574281.975
1579835405,34026592.8,-9025891.326,574001.0511
1579835465,34024827.25,-9021698.055,573720.121
