time_psp,HGI_X(km),HGI_Y(km),HGI_Z(km)
1600819200,26471742.17,-17426253.98,1158551.868
1600819260,26470877.32,-17421534.57,1158233.449
1600819320,26470012.08,-17416814.89,1157915.012
1600819380,26469146.44,-17412094.95,1157596.559
1600819440,26468280.4,-17407374.75,1157278.087
1600819500,26467413.97,-17402654.29,1156959.599
1600819560,26466547.14,-17397933.57,1156641.093
1600819620,26465679.91,-17393212.59,1156322.57
1600819680,26464812.28,-17388491.35,1156004.029
1600819740,26463944.26,-17383769.84,1155685.471
1600819800,26463075.84,-17379048.07,1155366.896
1600819860,26462207.02,-17374326.05,1155048.303
1600819920,26461337.8,-17369603.76,1154729.693
1600819980,26460468.19,-17364881.21,1154411.066
1600820040,26459598.17,-17360158.4,1154092.421
1600820100,26458727.76,-17355435.33,1153773.759
1600820160,26457856.96,-17350711.99,1153455.08
1600820220,26456985.75,-17345988.4,1153136.383
1600820280,26456114.14,-17341264.55,1152817.669
1600820340,26455242.14,-17336540.43,1152498.937
1600820400,26454369.74,-17331816.05,1152180.188
1600820460,26453496.94,-17327091.41,1151861.422
1600820520,26452623.74,-17322366.51,1151542.638
1600820580,26451750.14,-17317641.35,1151223.837
1600820640,26450876.14,-17312915.93,1150905.019
1600820700,26450001.74,-17308190.24,1150586.183
1600820760,26449126.95,-17303464.3,1150267.33
1600820820,26448251.75,-17298738.09,1149948.459
1600820880,26447376.16,-17294011.62,1149629.571
1600820940,26446500.16,-17289284.89,1149310.666
1600821000,26445623.77,-17284557.9,1148991.744
1600821060,26444746.97,-17279830.65,1148672.804
1600821120,26443869.78,-17275103.14,1148353.846
1600821180,26442992.18,-17270375.36,1148034.871
1600821240,26442114.19,-17265647.33,1147715.879
1600821300,26441235.79,-17260919.03,1147396.87
1600821360,26440357,-17256190.47,1147077.843
1600821420,26439477.8,-17251461.65,1146758.799
1600821480,26438598.2,-17246732.57,1146439.737
1600821540,26437718.2,-17242003.23,1146120.658
1600821600,26436837.81,-17237273.62,1145801.562
1600821660,26435957.01,-17232543.76,1145482.448
1600821720,26435075.81,-17227813.63,1145163.317
1600821780,26434194.2,-17223083.24,1144844.168
1600821840,26433312.2,-17218352.59,1144525.002
1600821900,26432429.8,-17213621.68,1144205.819
1600821960,26431546.99,-17208890.5,1143886.618
1600822020,26430663.78,-17204159.07,1143567.4
1600822080,26429780.17,-17199427.37,1143248.165
1600822140,26428896.16,-17194695.41,1142928.912
1600822200,26428011.75,-17189963.19,1142609.642
1600822260,26427126.93,-17185230.71,1142290.354
1600822320,26426241.71,-17180497.97,1141971.049
1600822380,26425356.09,-17175764.96,1141651.727
1600822440,26424470.07,-17171031.7,1141332.387
1600822500,26423583.64,-17166298.17,1141013.03
1600822560,26422696.81,-17161564.38,1140693.655
1600822620,26421809.58,-17156830.33,1140374.263
1600822680,26420921.95,-17152096.02,1140054.854
1600822740,26420033.91,-17147361.44,1139735.427
1600822800,26419145.47,-17142626.61,1139415.983
1600822860,26418256.63,-17137891.51,1139096.522
1600822920,26417367.38,-17133156.15,1138777.043
1600822980,26416477.73,-17128420.53,1138457.546
1600823040,26415587.68,-17123684.64,1138138.033
1600823100,26414697.22,-17118948.5,1137818.502
1600823160,26413806.36,-17114212.09,1137498.953
1600823220,26412915.09,-17109475.43,1137179.387
1600823280,26412023.42,-17104738.5,1136859.804
1600823340,26411131.35,-17100001.3,1136540.203
1600823400,26410238.87,-17095263.85,1136220.585
1600823460,26409345.98,-17090526.14,1135900.95
1600823520,26408452.7,-17085788.16,1135581.297
1600823580,26407559,-17081049.92,1135261.627
1600823640,26406664.91,-17076311.42,1134941.939
1600823700,26405770.41,-17071572.66,1134622.234
1600823760,26404875.5,-17066833.63,1134302.511
1600823820,26403980.19,-17062094.35,1133982.772
1600823880,26403084.47,-17057354.8,1133663.014
1600823940,26402188.35,-17052614.99,1133343.24
1600824000,26401291.82,-17047874.92,1133023.447
1600824060,26400394.89,-17043134.58,1132703.638
1600824120,26399497.55,-17038393.99,1132383.811
1600824180,26398599.8,-17033653.13,1132063.967
1600824240,26397701.65,-17028912.01,1131744.105
1600824300,26396803.09,-17024170.63,1131424.226
1600824360,26395904.13,-17019428.99,1131104.329
1600824420,26395004.76,-17014687.08,1130784.415
1600824480,26394104.99,-17009944.92,1130464.484
1600824540,26393204.8,-17005202.49,1130144.535
1600824600,26392304.21,-17000459.8,1129824.569
1600824660,26391403.22,-16995716.84,1129504.585
1600824720,26390501.82,-16990973.63,1129184.584
1600824780,26389600.01,-16986230.15,1128864.566
1600824840,26388697.79,-16981486.41,1128544.53
1600824900,26387795.17,-16976742.41,1128224.477
1600824960,26386892.14,-16971998.15,1127904.406
1600825020,26385988.7,-16967253.62,1127584.318
1600825080,26385084.85,-16962508.83,1127264.213
1600825140,26384180.6,-16957763.79,1126944.09
1600825200,26383275.94,-16953018.47,1126623.949
1600825260,26382370.87,-16948272.9,1126303.792
1600825320,26381465.39,-16943527.06,1125983.617
1600825380,26380559.5,-16938780.97,1125663.424
1600825440,26379653.21,-16934034.61,1125343.214
1600825500,26378746.51,-16929287.98,1125022.987
1600825560,26377839.4,-16924541.1,1124702.742
1600825620,26376931.88,-16919793.95,1124382.479
1600825680,26376023.95,-16915046.55,1124062.2
1600825740,26375115.61,-16910298.87,1123741.903
1600825800,26374206.87,-16905550.94,1123421.588
1600825860,26373297.71,-16900802.75,1123101.256
1600825920,26372388.15,-16896054.29,1122780.907
1600825980,26371478.18,-16891305.57,1122460.54
1600826040,26370567.79,-16886556.59,1122140.156
1600826100,26369657,-16881807.34,1121819.754
1600826160,26368745.8,-16877057.84,1121499.335
1600826220,26367834.19,-16872308.07,1121178.898
1600826280,26366922.17,-16867558.04,1120858.444
1600826340,26366009.73,-16862807.74,1120537.973
1600826400,26365096.89,-16858057.19,1120217.484
1600826460,26364183.64,-16853306.37,1119896.978
1600826520,26363269.98,-16848555.29,1119576.454
1600826580,26362355.91,-16843803.95,1119255.913
1600826640,26361441.42,-16839052.34,1118935.355
1600826700,26360526.53,-16834300.48,1118614.779
1600826760,26359611.23,-16829548.35,1118294.185
1600826820,26358695.51,-16824795.96,1117973.575
1600826880,26357779.38,-16820043.3,1117652.946
1600826940,26356862.85,-16815290.39,1117332.301
1600827000,26355945.9,-16810537.21,1117011.638
1600827060,26355028.54,-16805783.77,1116690.957
1600827120,26354110.76,-16801030.06,1116370.259
1600827180,26353192.58,-16796276.1,1116049.544
1600827240,26352273.98,-16791521.87,1115728.811
1600827300,26351354.98,-16786767.38,1115408.06
1600827360,26350435.56,-16782012.62,1115087.293
1600827420,26349515.73,-16777257.61,1114766.507
1600827480,26348595.48,-16772502.33,1114445.705
1600827540,26347674.83,-16767746.79,1114124.885
1600827600,26346753.76,-16762990.98,1113804.047
1600827660,26345832.28,-16758234.92,1113483.192
1600827720,26344910.39,-16753478.59,1113162.32
1600827780,26343988.08,-16748722,1112841.43
1600827840,26343065.36,-16743965.15,1112520.523
1600827900,26342142.23,-16739208.03,1112199.598
