time,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BR_(RTN)_nT,BT_(RTN)_nT,BN_(RTN)_nT,FIELD_MAGNITUDE_AVG._nT,BULK_FLOW_SPEED_km/s,ELEVATION_ANGLE_Deg,AZIMUTH_ANGLE_Deg,ION_DENSITY_N/cm3,TEMPERATURE_Deg_K
1600819200,7.1,283.3,0,-2.9,-1.2,3.3,331,-0.6,0.7,5.1,55863
1600822800,7.1,283.3,1.4,-2.5,-0.3,3.3,336,-0.4,0,5.7,67347
1600826400,7.1,283.4,3.6,0.1,1.3,3.9,339,-0.4,-0.8,5.5,59072
1600830000,7.1,283.4,2.7,1.6,2.4,4.1,343,0.1,-1.4,5.2,58960
1600833600,7.1,283.5,2.4,-0.6,2.1,3.4,345,-0.5,-0.9,5.6,62367
1600837200,7.1,283.5,2.1,-1.4,1.1,3.1,353,-0.3,-0.8,7.5,71722
1600840800,7.1,283.5,1.4,-2.3,0.9,4.8,363,-1.8,1.3,10.9,79920
1600844400,7,283.6,-2.6,-2.6,-2,5.2,358,-1.2,1.6,12.6,79675
1600848000,7,283.6,-3.5,0.1,-3.8,5.8,362,-1.5,3.7,11.9,63902
1600851600,7,283.7,0.3,-2.7,-3,5.9,357,-2.2,5.1,11.8,69597
1600855200,7,283.7,4.2,-3.1,0.1,6.3,362,-1.9,4.1,10.8,70113
1600858800,7,283.7,6.9,-3.3,-1.1,8.2,369,-2.1,5.3,12.1,62373
1600862400,7,283.8,3.4,-4,-1.2,7.7,372,-1.6,5.3,12.7,49939
1600866000,7,283.8,4.9,-4.3,-0.6,6.7,362,-1.7,5.6,11.4,41211
1600869600,7,283.9,-2.5,-2.9,-5,6.8,357,-2.4,5,11.1,27285
1600873200,7,283.9,0.7,-3.2,-2.7,5.6,356,-3.2,4.2,12.2,45973
1600876800,7,283.9,3.5,-2.1,-0.1,5.1,364,-2.2,3.5,12.4,66225
1600880400,7,284,1.2,-1.2,-1.5,4.9,380,-1.1,3.3,13.1,92814
1600884000,7,284,4.3,-3.3,-0.3,5.8,384,-0.9,4.3,12,70932
1600887600,7,284.1,4.4,-2.7,-2.1,5.9,387,-0.9,3.8,11.5,66327
1600891200,7,284.1,5.6,-2.4,0.4,6.3,397,-0.3,4.2,10.4,63584
1600894800,7,284.1,5.4,-2.6,-0.7,6.2,402,-0.2,1.4,8.5,77316
1600898400,7,284.2,3.1,-2.8,-3.1,5.4,404,1.5,2.6,9.5,87932
1600902000,7,284.2,-2.8,-0.4,-2.7,4.9,406,0.6,1.1,7.5,138045
1600905600,7,284.3,-4.4,2.8,-1.6,5.7,409,1.4,0.9,7.4,135338
1600909200,7,284.3,1.9,3.5,2,5.9,420,2.7,-0.8,6.6,132255
1600912800,7,284.4,1.3,2.9,2.6,4.9,415,-0.2,-0.1,13.5,113208
1600916400,7,284.4,-4.2,3.4,0,6.8,420,-0.2,-0.6,14.2,103466
1600920000,7,284.4,-3.7,4.4,-4.8,8.8,424,-0.5,-0.2,5.6,45707
1600923600,7,284.5,-4.1,3.6,0.5,7.9,472,-4.4,-4.6,11.3,148372
1600927200,7,284.5,1.5,-3,-2.3,6.6,505,-3.1,-7.7,6,209415
1600930800,7,284.6,1.1,-3.2,-7.7,8.5,503,-2.7,-8.4,3.7,231135
1600934400,7,284.6,0.5,-1.9,-6.2,8.4,525,0,-11.5,4.6,279116
1600938000,7,284.6,3.3,-4.1,0.9,6.4,515,-0.4,-10,5.3,278326
1600941600,7,284.7,1.3,-1.9,5.3,6.2,510,-3,-8.9,4.2,252768
1600945200,7,284.7,2.2,-4.7,1.5,6,507,-2.6,-7,3.4,183711
1600948800,7,284.8,3.7,-4.1,0.1,5.7,486,-3.9,-4.5,3.1,142997
1600952400,7,284.8,4,-1.2,-2,6,485,-3,-5.9,3.3,149352
1600956000,7,284.8,3.9,-0.5,-1.7,4.7,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1600959600,7,284.9,3.6,-1.6,-2.7,4.8,485,-1.4,-0.7,3,141872
1600963200,7,284.9,4.6,-1.1,-1.8,5.2,475,-1.2,-0.4,2.7,119293
1600966800,7,285,5.1,-0.5,-1.2,5.3,456,-1.7,-0.3,2.4,109059
1600970400,7,285,5.4,0.4,-0.4,5.6,450,-1.7,-0.9,2.5,71994
1600974000,7,285.1,5.4,0.1,0.4,5.4,435,-1.7,-0.7,2.9,63650
1600977600,7,285.1,4.9,1.2,0.8,5.3,436,-1.9,-2.1,2.6,52236
1600981200,7,285.1,3.9,-1.5,0.6,4.6,451,-1.3,1.4,2.9,86634
1600984800,7,285.2,3.4,-2.9,-0.2,4.7,464,-0.2,1.8,2.5,80131
1600988400,7,285.2,2.8,-3.9,-0.7,5,477,0.2,1.1,3.2,72916
1600992000,7,285.3,3.2,-1.6,1.4,4.4,496,-0.2,-0.8,3.8,104483
1600995600,7,285.3,2.3,-2.2,-0.3,3.8,500,-0.2,-0.3,3.9,133046
1600999200,7,285.3,1.7,-3.2,-1,4.4,476,-1.3,-1.1,3.8,139285
1601002800,7,285.4,3.3,-3,0.2,4.7,467,-1.4,-0.1,3.1,128955
1601006400,7,285.4,4.6,-2,0.8,5.2,449,-2.4,0.2,2,75481
1601010000,7,285.5,4.8,-0.2,1.5,5.1,457,-1.7,-1.6,2.1,81620
1601013600,7,285.5,4.2,-2.5,2.1,5.6,480,-1.8,-1.1,1.6,90824
1601017200,7,285.5,1.8,-4.3,-1.6,5.6,494,1.7,0.7,2.1,97043
1601020800,7,285.6,-0.7,-2.7,0.2,4.4,511,-0.2,-2.4,2.6,162676
1601024400,7,285.6,-3.4,-2.1,-1.1,4.3,532,1.4,-3,2.6,160735
1601028000,7,285.7,2.4,-1.5,1.4,4,511,0.4,-3.2,2.9,152264
1601031600,7,285.7,-0.8,-1.2,0.3,4.4,500,-0.4,-2.2,3.5,129008
1601035200,7,285.8,-3.2,4.1,-0.9,5.4,492,-1.6,-0.3,3.9,63988
1601038800,7,285.8,-4.5,4.1,-2,6.7,492,-1.4,1,3.3,51561
1601042400,7,285.8,-6.6,0.7,-3.6,7.7,478,-2.1,1.4,1.6,44670
1601046000,7,285.9,-4.2,-3.3,-2.6,6.3,476,-0.7,2.3,4.1,68093
1601049600,7,285.9,-0.2,1.2,-0.2,4.6,464,-0.6,2.6,5,98438
1601053200,7,286,-0.7,0.7,-0.9,4.5,486,0.8,1.4,4.6,116194
1601056800,7,286,-0.9,-3.6,-0.1,4.9,491,0.4,1.8,4,147205
1601060400,7,286,-2,-1.3,-3.3,4.8,488,0.4,3,3.9,169433
1601064000,7,286.1,-1.9,1.6,-4.6,5.8,492,0.8,1.2,3.1,141390
1601067600,7,286.1,0.7,1,-5.4,6,482,1.6,0.6,3.9,140843
1601071200,7,286.2,1.7,-2.7,-5.6,6.7,484,2.7,2.1,4.7,126751
1601074800,7,286.2,0.1,-4.8,-2.5,5.7,491,2.8,3.1,4.5,131081
1601078400,7,286.2,1.8,-3.6,-3.1,5.4,515,0.5,2.4,3.3,111576
1601082000,7,286.3,2.6,-4,-2.3,5.4,530,1.5,2.7,1.9,67305
1601085600,7,286.3,3.2,-3.7,-1.2,5.1,511,1.6,2.1,2.5,78353
1601089200,7,286.4,2.3,-4.2,-1.2,5.1,504,1.4,1.8,3.5,91886
1601092800,7,286.4,2.6,-4.4,-1.3,5.4,499,1.2,1.6,3.8,93745
1601096400,7,286.5,2.3,-4.7,0,5.5,495,1.2,1,5.2,78696
1601100000,7,286.5,2.2,-3.6,-2.3,5,498,2,0.8,6.6,105949
1601103600,7,286.5,2.4,-2.5,1.1,5.3,498,3.1,0.6,6.4,136051
1601107200,7,286.6,1,-0.9,3.2,4.8,516,5.2,0.3,6.3,210237
1601110800,7,286.6,1.8,-4.1,1.3,6.5,546,6.1,-1.3,5.5,285496
1601114400,6.9,286.7,3.7,-3.7,-0.2,6.2,547,4.5,-4.6,6,318214
1601118000,6.9,286.7,3.2,-1.6,2.8,6.4,538,3.2,-3.7,5.6,289896
1601121600,6.9,286.7,4,-5.8,1.1,8.6,541,3.7,-1.9,4.9,248871
1601125200,6.9,286.8,4.4,-3.2,-1.7,7.5,552,3.1,-4.7,5.9,321581
1601128800,6.9,286.8,2.7,-3.4,0.6,6.7,561,1.7,-3.3,6.2,298254
1601132400,6.9,286.9,1.4,0.7,-3.6,5,587,1.5,-4.7,5.9,244805
1601136000,6.9,286.9,3.2,1.9,-0.7,4.8,582,0.8,-4.4,5.7,215306
1601139600,6.9,286.9,2.9,-1.3,-1.1,4.1,584,0,-3.3,3.9,177392
1601143200,6.9,287,1.6,-1,1.7,3.2,597,-2.9,-2.1,2.4,129485
1601146800,6.9,287,0.2,-1.7,1.3,3.3,599,-2.8,-0.7,2.2,127818
1601150400,6.9,287.1,0.5,-1.9,-2.3,3.7,591,1.4,0.1,1.9,104412
1601154000,6.9,287.1,1,-3.6,-0.8,4.1,573,-0.7,2.5,1.6,89558
1601157600,6.9,287.1,0.6,-3.8,-1.5,4.3,569,0.2,2.6,1.5,93340
1601161200,6.9,287.2,0.8,-3.4,-0.8,4.2,563,-0.8,2.1,1.4,91457
1601164800,6.9,287.2,2.5,-1.7,0.1,3.9,541,-1.7,0.2,1.5,108452
1601168400,6.9,287.3,1.6,-2.6,-0.5,3.9,547,-0.9,1.5,1.5,107054
1601172000,6.9,287.3,0.1,-3.2,-1.4,4.1,572,0,2.5,1.6,113591
1601175600,6.9,287.4,-0.1,-3,-2.6,4.3,571,1.2,2.2,1.7,109025
1601179200,6.9,287.4,0.4,-3.8,-1.4,4.6,563,-0.4,3.1,1.8,106215
1601182800,6.9,287.4,0.3,-2.9,2.8,4.2,557,-4.9,2.2,1.7,100994
1601186400,6.9,287.5,3.3,-0.9,-0.1,4,506,-2.3,0.8,1.1,54808
