time,na,va_x,va_y,va_z,B_inst_x,B_inst_y,B_inst_z,Ta_perp,Trat
1610495999.180177,1.413483378525076,-604.7358422559196,121.4248650346661,51.87054504551548,-68.7835,10.5242,8.45730,229.6053323876136,0.4941198060112600
1610496125.009614,1.377358138856019,-607.6637554905835,119.7530667377347,43.73247734367391,-69.5054,11.0321,7.06418,223.7746538671852,0.5328793131251531
1610496250.839091,1.810836433564422,-587.5214950919915,113.2705663834239,49.72137463179079,-67.2571,10.5353,0.316662,243.4148673832613,0.5074601716231036
1610496376.668569,1.651593703815796,-606.7221520395283,119.5992026729097,39.49038822425527,-68.4360,15.4292,11.8840,265.7127409104384,0.6034243217129274
1610496502.498006,2.155883829458478,-568.0316463988048,110.4466667205334,48.87764201272034,-65.0715,4.29023,-5.25183,240.3917182924565,0.7482740018210846
1610496628.327483,1.824952104008011,-553.7651701556713,109.2774248692306,47.83375212136968,-64.1979,-6.33093,-9.86277,218.0449120777903,0.8370332044769792
1610496754.156981,1.609928031973254,-550.1902169281393,105.6412286012908,44.07653578728712,-64.1889,-5.72459,-5.84848,254.3720136709465,0.9566931173678863
1610496879.986398,1.738259447981354,-546.8845894761065,103.7439949280147,47.14554764054673,-62.0984,-0.463263,-0.510024,248.5430308360669,0.6614261033154649
1610497005.815875,1.631270480739535,-551.4272047113112,106.2002636632489,39.48778480818108,-61.0656,-1.03565,-0.933755,260.5646026333065,0.6480894331369104
1610497131.645372,1.720519052383450,-549.8835186936569,104.5673459303238,38.74916369868530,-60.3324,0.0312924,6.24923,269.1865699513252,0.6041558475400840
1610497257.474790,1.584695465920778,-557.7183517049898,107.3429960202375,32.40072158824532,-58.8777,4.67599,16.1228,244.4071435376250,0.5186330948501328
1610497383.304267,1.577935008131883,-573.7780390148799,111.7570444172072,36.29094523793475,-58.1162,10.6097,19.2361,257.9566795617521,0.5511173115394078
1610497509.133764,1.530986461698052,-540.6488466391130,108.0562718043741,29.63178774841537,-59.0156,-6.62852,8.05384,223.2468836674339,0.6667691050772486
1610497634.963181,1.386669301748927,-538.3729436020346,97.76914159813845,38.45824537694894,-58.0849,-10.4980,2.45712,260.5780639980723,1.017125105676263
1610497760.792659,1.881607042261275,-549.4470586359896,109.8458473185391,39.54034281016218,-59.9836,-14.8606,-1.71440,254.3979961927313,1.301863812529375
1610497886.622096,2.110040455262309,-554.6166928054221,115.8997782306196,43.77591560992508,-58.9602,-19.0483,-5.06314,245.0810827130232,1.323413903811759
1610498012.451573,1.951786720937535,-547.0298010504590,110.8539851267033,41.51748047830441,-56.8692,-21.1735,-6.44246,257.3647855257308,1.373445235579410
1610498138.281071,1.748393262466442,-569.6445353965688,114.6894042100012,40.89359309930880,-63.4031,-10.3088,4.50549,245.6537657213724,1.448635492762871
1610498264.110548,1.655198629953398,-599.5241938079055,117.5695527820855,40.73886813617464,-62.6204,6.35768,13.4680,278.4068169152205,0.6895104868425835
1610498389.939965,1.631362831454881,-600.2949362342567,118.4214321034683,40.42715962656782,-61.2799,7.67284,14.5155,257.6176475458147,0.5489743489648744
1610498515.769463,1.476343226961471,-592.8528515224042,117.6467714413661,36.21360299232523,-60.8876,4.63815,12.4776,252.7811805893627,0.5136526434030643
1610498641.598880,1.408845635609975,-595.5623592633431,117.2602908285556,34.95791488302351,-60.9561,8.94170,8.92546,221.7306371454313,0.4833783985466119
1610498767.428357,1.444932311933041,-599.7062576682116,119.6867327110698,37.21594559460920,-61.1619,11.7329,6.88724,244.1176460950634,0.4697239262608025
1610498893.257855,1.481637627377698,-601.2672394523738,120.7204754748829,32.52387243527600,-60.6426,8.62413,12.6448,253.1455781416117,0.5007773888433421
1610499019.087332,2.037675232698737,-580.5662726247766,119.2137891202803,31.16680326978590,-59.8051,-13.7354,6.33535,265.3493265166670,0.7922174628859058
1610499144.916769,1.601461887237265,-603.0101404122163,115.4504949511046,29.16830366040164,-61.2064,4.87554,4.32550,309.5705692632205,0.7993748219451807
1610499270.746247,1.431174203698621,-581.4805085585323,112.8383511222427,27.29602671582464,-62.6432,-3.32601,7.31971,249.0789116622821,1.093768506405527
1610499396.575724,1.352911810264989,-597.0898001398299,118.2849913385216,28.15409768491703,-61.9595,12.1722,4.08051,264.7879875709221,0.5405019622703650
1610499522.405161,1.535309171203385,-578.6023688103813,114.4057653009439,32.73269813702490,-62.0128,-4.02872,0.161343,273.2974983060975,0.8244238347340836
1610499648.234638,1.752953072211958,-577.3556213590136,116.6013446123841,25.27490626876709,-59.9650,-14.6459,11.8119,264.1842099725113,1.104085536212198
1610499774.064116,1.363628325644033,-580.9259396760604,116.0011825958298,24.76006131867310,-61.9161,-5.26448,10.0404,269.4726552822626,0.9387985714889133
1610499899.893553,1.584753766771483,-576.9074143888589,115.8790256865034,21.71771631639064,-60.4159,-13.8833,7.36170,294.0766096445743,1.308262071736106
1610500025.723030,1.623207553984797,-584.6166921599270,111.6058338987699,29.60898027659249,-61.1874,-7.86138,-3.59709,299.2314246396406,1.014426935486530
1610500151.552528,1.735627921035964,-591.7588504238913,112.8257371366044,28.02259444284130,-60.7505,-7.34030,-0.233571,324.3717510012430,1.062817478710621
1610500277.381945,1.738668642141066,-590.4244105629371,110.2724829406050,30.48928945640099,-62.2828,-5.02826,2.36374,300.5838098125706,0.8789849689828227
1610500403.211422,1.690159054914829,-592.9232226783158,113.4761980592209,30.28151039000655,-62.4054,1.39173,1.11649,266.4829808247452,0.7622594563830609
1610500529.040920,1.920972882336005,-593.2276738405017,114.5575181977061,29.59598595791614,-61.7547,-2.87138,-1.30127,270.7142654265023,0.7046478606214843
1610500654.870337,1.913053305540568,-592.5192907087344,118.8030019239776,33.82791409129030,-61.0125,-2.27998,-5.65490,255.7178249603855,0.6760871257043932
1610500780.699814,1.672826590115056,-593.0950641276567,118.9232224197423,27.75620264057874,-61.9250,-12.8025,6.60748,264.4279767300554,1.113660188715131
1610500906.529311,1.637686961062101,-595.7064013912799,116.9880082402170,28.61451666307862,-61.7516,-13.2160,7.27124,253.6325218456481,1.096686902111867
1610501032.358729,1.717759527542857,-594.4424719804986,118.3407561748621,27.88813965727374,-60.0104,-14.7978,1.06716,261.9789881489261,1.174596166737742
1610501158.188206,1.950748359956765,-583.4424019074690,109.8559349205157,35.89260457676426,-55.9170,-7.83556,-8.63712,292.6216242447194,1.101949690919675
1610501284.017704,2.254801292930286,-581.3713389239698,122.5705953269265,28.57603061114806,-39.2821,24.0477,-23.3351,273.2149546092966,0.6695687331613620
1610501409.847121,2.045953611522958,-589.6251556762749,122.0262839683318,20.79614102699912,-39.7490,33.8642,-21.0391,263.2904661153340,0.6432798176867871
1610501535.676618,1.898703016482822,-590.5087547571969,114.3693153979999,17.74872006689001,-38.9337,43.9112,-4.37906,312.3201831562019,0.8477692304878979
1610501661.506095,2.207956192512128,-565.9446349977520,111.1655857552137,17.51220761630982,-10.9926,53.3973,-11.2948,315.7036287811995,0.8613428656952927
1610501787.335513,2.260569772511311,-578.5863485883478,112.3391562769510,22.49019434616977,-30.3603,49.0070,-8.65581,316.6594565062581,0.8840871638986623
1610501913.165010,1.948452507433357,-590.7695807155962,114.3593077491691,15.42179298616074,-33.6599,44.2778,-2.20831,320.1599613080676,0.9536150724433711
1610502038.994487,2.097194863440997,-593.5975579609378,114.1672886703142,25.24821183939378,-35.9377,39.3853,-9.03759,342.6128833452536,0.9565237722441551
1610502164.823905,1.760973109086023,-615.3317695106874,112.0103070022714,32.72816317361316,-51.0186,34.1254,1.05740,314.7266183702548,0.7677631031847183
1610502290.653402,1.583938826846620,-615.9419580877671,116.6247034089998,25.15762749558944,-55.8872,28.0587,8.40977,289.2978712926705,0.7143763744475390
1610502416.482879,1.572962398921427,-604.3234440724982,114.5305387320284,33.62617268636397,-60.1969,19.7945,4.04924,290.5446543997183,0.7715758348754335
1610502542.312316,1.754309668866767,-597.3305519433129,114.8670645207420,39.79720137286194,-64.2970,1.65943,4.30614,272.1914721127791,0.7965304133604740
1610502668.141794,1.694972445715612,-602.5672870176114,112.8737368068424,35.56179182879582,-63.1779,5.23468,11.3468,310.1733071169764,1.075775286232254
1610502793.971271,1.690499624407303,-600.3841918183683,115.2050902803501,35.61037256130160,-62.4893,10.9355,13.7650,294.2576488500463,0.8272709745205962
1610502919.800768,1.850107018376211,-602.2052114748071,115.8673698218814,45.87525277235193,-63.9419,1.45730,1.25415,301.5398404062707,1.198624882775440
1610503045.630186,1.414604220429661,-609.5752722203069,119.9362452809876,48.24781585264034,-55.7602,23.3075,10.3430,278.7777054599130,0.7921388043914968
1610503171.459663,1.578240878908018,-603.9544845823973,116.8963745173240,46.21057402278919,-55.1308,25.5849,14.1735,293.3716216942485,0.7409262645432901
1610503297.289160,1.493274790228996,-602.6053882048285,115.0270601141788,44.56040620799076,-57.4608,19.2351,13.6139,279.2334394890730,0.7492480070151764
1610503423.118577,1.533874237189258,-608.3424934868691,116.6721946229771,39.36144224697609,-52.7421,29.9131,16.3975,302.7406821801117,0.7454448745015965
1610503548.948075,1.683701635813101,-601.5476010515160,114.4289360136770,40.52983639224872,-57.9964,20.0138,13.6506,288.7730680359397,0.6872287516675721
1610503674.777552,1.822617359936820,-593.7582504115780,111.4322013687562,38.90465497523488,-62.9100,3.12798,15.1413,286.4288201268913,0.8665165725126299
1610503800.606969,1.795991977852548,-591.9551202541066,113.0475087080978,35.52394294904117,-59.4539,7.84768,23.5880,308.8382844777672,0.8854624446061434
1610503926.436467,1.890201924913365,-595.0250191662903,116.6530148413499,36.70275453161323,-59.8795,11.3021,18.1027,288.5581206175216,0.8158185520995777
1610504052.265944,1.827148578087148,-590.6972734639878,114.2854756053857,35.16559102948432,-62.9008,8.54537,11.6028,311.2882136089314,0.8331615877832589
1610504178.095361,2.105625703896748,-584.0908955559061,114.3064334821792,34.57755371811050,-61.4438,12.8510,10.3496,293.3597902469947,0.7175400971456317
1610504303.924859,1.839524741128961,-586.9285581991438,113.0678149896290,37.67740919393080,-58.3840,16.7219,12.4554,314.7139147517873,0.7774582344736931
1610504429.754336,1.970611536644825,-585.1522505211537,113.1850806504216,41.88528067836254,-59.8686,11.9359,2.98849,298.1683794688507,0.6943312647574599
