time,RADIAL_DISTANCE_AU,HGI_LAT_deg,HGI_LONG_deg,BR_(RTN)_nT,BT_(RTN)_nT,BN_(RTN)_nT,B_nT,VR_(RTN)_km/sec,VT_(RTN)_km/sec,VN_(RTN)_km/sec,PROTON_SPEED_km/s,FLOW_LAT_(RTN)_deg,SW_LON_(RTN)_deg,PROTON_DENS_N/cm3,PROTON_TEMP_deg_K
1610496000,0.22,2.2,323.8,62.12,-2.08,4.32,62.31,431.5,-14.9,1.1,431.7,0.1,-2,72.5,264536
1610499600,0.22,2.2,324.2,53.49,-10.43,-2.73,54.56,451.1,-0.1,0.2,451.1,0,0,79.7,327498
1610503200,0.22,2.2,324.6,48.83,-20.7,-1.42,53.05,449.7,16.4,-0.5,450,-0.1,2.1,78.3,386951
1610506800,0.22,2.1,325,49.45,-9.82,-6.06,50.78,440,-8.2,1,440,0.1,-1.1,87.1,375987
1610510400,0.21,2.1,325.4,51.14,-20.93,14.69,57.17,441.8,26.3,-1.8,442.6,-0.2,3.4,86,396926
1610514000,0.21,2.1,325.8,55.03,2.11,24.08,60.11,434.2,-9.9,0.3,434.3,0,-1.3,83.5,337999
1610517600,0.21,2.1,326.2,56.74,8.69,25.61,62.85,437.3,-10.6,-0.1,437.4,0,-1.4,78.6,305066
1610521200,0.21,2.1,326.6,44.99,-29.78,-3.69,54.08,474.6,40,-2.3,476.3,-0.3,4.8,71.8,468576
1610524800,0.21,2,327,66.87,7.75,-2.73,67.37,425.8,-17.1,1.2,426.1,0.2,-2.3,74.3,221169
1610528400,0.21,2,327.4,66.92,-1.7,-8.23,67.44,419.4,-3.7,1,419.4,0.1,-0.5,81.9,217979
1610532000,0.21,2,327.8,65.36,-1.89,1.7,65.41,415.5,-6,0.8,415.5,0.1,-0.8,89.9,230960
1610535600,0.21,2,328.2,53.15,0.51,-12.35,54.57,422.2,-1.5,1,422.2,0.1,-0.2,107.6,319538
1610539200,0.2,2,328.5,44.15,-6.2,-1.38,44.6,427.5,11.4,-0.8,427.7,-0.1,1.5,138.7,497873
1610542800,0.2,1.9,328.9,32.08,-2.06,-13.49,34.86,419.3,0.5,0,419.3,0,0.1,155.9,565284
1610546400,0.2,1.9,329.3,42.89,-1.36,-11.22,44.36,395.5,1.2,0.5,395.5,0.1,0.2,163.2,476183
1610550000,0.2,1.9,329.7,49.46,-6.86,-11.62,51.27,387.1,13.1,-0.6,387.3,-0.1,1.9,192.6,555255
1610553600,0.2,1.9,330.1,38.08,1.56,-24.69,45.41,388,-2.1,0,388,0,-0.3,185.6,468956
1610557200,0.2,1.8,330.5,36.82,-23.84,-26.78,51.39,395.8,10.6,-1.1,396,-0.2,1.5,199,525129
1610560800,0.2,1.8,330.9,39.98,-15.06,5.46,43.08,373.6,6.9,-0.2,373.7,0,1.1,217.1,696073
1610564400,0.2,1.8,331.3,39.58,-17.35,1.43,43.24,376.8,17.5,-1.3,377.3,-0.2,2.7,192.2,513735
1610568000,0.19,1.8,331.7,51.69,-19.79,-16.06,57.63,359.7,29.7,-1.5,361,-0.2,4.7,195.1,380477
1610571600,0.19,1.8,332.1,57.53,-23.02,-2.82,62.03,356.7,33.8,-2,358.4,-0.3,5.4,189.1,353649
1610575200,0.19,1.7,332.5,67.04,-17.65,-2.76,69.38,345.2,26.3,-2.2,346.2,-0.4,4.4,195.6,288662
1610578800,0.19,1.7,332.9,53.05,-24.48,-1.51,58.45,350.1,33.2,-1.7,351.7,-0.3,5.4,212.1,387635
1610582400,0.19,1.7,333.3,61.67,19.96,15.88,66.74,294.1,5.9,-1.2,294.2,-0.2,1.1,306,326003
