time,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BR_(RTN)_nT,BT_(RTN)_nT,BN_(RTN)_nT,FIELD_MAGNITUDE_AVG._nT,BULK_FLOW_SPEED_km/s,ELEVATION_ANGLE_Deg,AZIMUTH_ANGLE_Deg,ION_DENSITY_N/cm3,TEMPERATURE_Deg_K
1606694400,1.1,351.1,2.7,-3.3,0.6,4.6,373,0.6,-1,3.8,47741
1606698000,1.1,351.1,1.9,-3,0.3,4.1,374,1,-0.5,4.2,59142
1606701600,1.1,351.1,3.4,-2.7,0.1,4.6,371,0.4,0.2,4.4,58702
1606705200,1.1,351.2,0.8,-0.4,-5.3,5.6,382,1.2,1.9,6.9,74588
1606708800,1.1,351.2,2.9,-2.3,-0.4,5.1,383,-0.9,3.1,7.4,89052
1606712400,1.1,351.3,-2,1.6,1,5.9,430,-1.5,-0.2,10.4,104898
1606716000,1.1,351.3,0.9,-1.3,2.2,5.3,418,-1.7,1.1,11,118064
1606719600,1.1,351.4,2.6,-4.2,-2.1,6.7,415,1.3,1.3,12.3,111254
1606723200,1.1,351.4,0.1,2.8,-3.8,8.5,439,1,-2.8,11,96347
1606726800,1.1,351.4,-1.2,4.5,1.6,7.4,464,-2.1,-8.1,10.3,101590
1606730400,1.1,351.5,-3,4.8,3.9,7.1,494,-7.2,-7.7,6,63374
1606734000,1.1,351.5,-2.2,3.7,1.2,5.4,503,-5.7,-8.5,3.8,102674
1606737600,1.1,351.6,0.6,1.5,-1,2.4,499,-3.8,-7.8,2.6,171218
1606741200,1.1,351.6,0.8,0.7,-0.9,2.1,492,-3.9,-4.8,1.9,269997
1606744800,1.1,351.6,-1.9,2.7,-1.2,3.6,452,-3.4,-2.3,1.1,296674
1606748400,1.1,351.7,-1.9,2.6,-0.3,3.8,452,0.3,-2.8,1,253029
1606752000,1,351.7,-0.2,2.7,2.1,3.9,473,3.8,-0.4,0.9,234274
1606755600,1,351.8,-2.1,1.5,-0.9,3.8,473,-3.6,1.5,0.7,181102
1606759200,1,351.8,-1.9,2.4,0.2,3.8,445,-1.9,1.5,0.8,223397
1606762800,1,351.9,-1.4,2,-1.8,3.9,456,-7.2,-0.5,0.9,210900
1606766400,1,351.9,-1.8,2.8,-1.5,4,439,-6.1,2.1,0.9,186374
1606770000,1,351.9,-0.5,3.6,-1.6,4.3,448,-4.7,2.4,0.9,175194
1606773600,1,352,-1.2,2.7,-2.8,4.4,440,-8.5,0.8,1,161820
1606777200,1,352,-1.4,2.4,-2,4.3,428,-6.3,1.6,0.9,161490
1606780800,1,352.1,-1.2,3.7,-1,4.3,427,-5.1,3.2,1,166453
1606784400,1,352.1,-1.3,3.9,-0.7,4.3,423,-4.9,3.8,0.9,160781
1606788000,1,352.1,-1.7,3.3,-0.8,4.3,410,-5.1,2.5,1,171416
1606791600,1,352.2,0,4.1,0.6,4.2,424,-2.2,4.4,1.1,160157
1606795200,1,352.2,0.2,4,-0.3,4.1,423,-3.3,4,1,166781
1606798800,1,352.3,-0.1,4,0.4,4.2,413,-0.9,3.7,1,164856
1606802400,1,352.3,-1.1,3.8,1.1,4.1,400,0.9,3.9,1,135541
1606806000,1,352.4,-1.2,3.3,1.5,4,404,0.8,3.5,1,162658
1606809600,1,352.4,-2.3,2.3,1.2,3.7,386,-0.6,1.1,1.1,199271
1606813200,1,352.4,-2.8,2.9,0.1,4.3,388,-2.2,2.6,1.1,152701
1606816800,1,352.5,-2.1,3.3,0.8,4.3,399,0.2,2.1,1.1,197194
1606820400,0.9,352.5,-3.2,2.1,-0.4,4.1,383,-2.6,1,0.9,181010
1606824000,0.9,352.6,-2.3,2.4,0,4,399,-1.1,2.4,1.1,194619
1606827600,0.9,352.6,-1,3.3,1.5,4,396,0.2,3.4,1.1,161259
1606831200,0.9,352.6,-0.1,3.2,1.4,3.6,411,-0.3,1.9,1.1,191974
1606834800,0.9,352.7,-0.4,3.3,1,3.5,410,-0.8,0.9,1.2,205031
1606838400,0.9,352.7,-1.7,2.2,0.9,3.7,395,0.1,0.9,1.2,225601
1606842000,0.9,352.8,1.1,2.1,2.8,3.9,440,2.7,-0.3,1.1,188368
1606845600,0.9,352.8,1.2,0.3,3.9,4.3,439,4.6,-4.4,1.1,178533
1606849200,0.9,352.9,-0.1,3.2,2.1,4.4,410,0.6,0.8,1.2,229780
1606852800,0.9,352.9,-2,3,0.9,3.9,394,0,0.6,1.2,214694
1606856400,0.9,352.9,-2.5,2.3,-1.3,4,392,-4.7,-1.2,1.2,217721
1606860000,0.9,353,-2.7,0.9,-2.6,4.1,388,-8.1,-3.6,1.2,213285
1606863600,0.9,353,-1.5,1.7,0.3,3.8,389,-2.2,-1.7,1.2,250257
1606867200,0.9,353.1,-1.3,2.9,1.7,4,393,1.2,0.7,1.1,220297
1606870800,0.9,353.1,-3.1,0.8,1.2,3.6,372,1.3,-4.7,1,196585
1606874400,0.9,353.2,-2.5,-1.3,-1.8,3.6,394,-5.5,-7.7,1.1,201942
1606878000,0.9,353.2,-1.8,-1.1,-2.7,3.6,412,-5.7,-7.3,1,162021
1606881600,0.9,353.2,-2.2,-0.8,-2.1,3.4,405,-5.2,-7.6,1.1,190274
1606885200,0.9,353.3,-2.1,0.9,-2.5,3.5,406,-6.8,-4,0.9,113853
1606888800,0.8,353.3,-2.8,1.2,-1.7,3.6,404,-4.8,-3.2,0.8,83011
1606892400,0.8,353.4,-3.1,1.9,-0.7,3.7,390,-2.5,-1.1,0.8,97362
1606896000,0.8,353.4,-2.2,2.2,0.8,3.7,396,2.5,-0.1,1.6,81285
1606899600,0.8,353.4,-0.4,2.6,0.2,3.6,409,1.2,0.1,2,64262
1606903200,0.8,353.5,-0.4,3.6,1.9,4.1,406,3.1,1.4,2,60091
1606906800,0.8,353.5,0.8,4.1,2,4.8,417,4.2,-0.2,2.7,60491
1606910400,0.8,353.6,-0.3,4.6,2.1,5.2,411,4.7,-0.1,3,63088
1606914000,0.8,353.6,-0.5,4.9,1.8,5.3,410,4.5,0.6,3.5,71398
1606917600,0.8,353.7,1.1,4.7,2.4,5.5,420,2.4,-0.1,4.3,56400
1606921200,0.8,353.7,2.1,4.3,2.7,5.5,418,1.1,-1.2,5.1,42644
1606924800,0.8,353.7,2.1,4.4,2,5.6,414,2.3,-0.5,5.7,55894
1606928400,0.8,353.8,1.4,5,2.4,6.4,419,2.2,-0.2,5.6,72886
1606932000,0.8,353.8,-0.1,4.2,3.3,5.6,415,2.6,-1.1,5.2,106229
1606935600,0.8,353.9,0,4.5,1.6,5.4,413,1.3,-0.4,5.2,114333
1606939200,0.8,353.9,-1.2,1.7,2.3,5.2,408,1.6,0.4,5,130180
1606942800,0.8,353.9,-1.7,4,1.8,5.3,401,0.7,0.6,4.9,128768
1606946400,0.8,354,2.8,2.1,-1.1,5.1,427,-2.4,0.4,5.3,103603
1606950000,0.8,354,0,4.5,3.1,5.6,413,1.1,2.8,3.9,100739
1606953600,0.8,354.1,-1.5,3.3,2.2,4.9,398,-0.5,1.5,3.6,106676
1606957200,0.7,354.1,1.6,3.4,0.7,4.5,414,-1.9,2.6,3.7,113419
1606960800,0.7,354.2,-0.2,2.7,2.4,4.3,397,0.2,3,3.5,98242
1606964400,0.7,354.2,-0.9,2.3,2.5,4.2,386,0.1,2.6,3.3,84073
1606968000,0.7,354.2,-0.6,3.4,1.3,4,382,-1.9,4.2,3.4,74260
1606971600,0.7,354.3,-0.8,3.4,1.4,3.9,376,-2.1,4.8,3.2,70859
1606975200,0.7,354.3,-0.9,3.3,0.5,3.6,373,-3,5.5,3.2,69260
1606978800,0.7,354.4,-0.8,2.1,2.3,3.5,369,-1.8,4.6,3.1,62838
1606982400,0.7,354.4,-0.8,2.9,0.4,3.2,368,-2.6,5,3.1,56447
1606986000,0.7,354.5,-1.2,2.3,-1.6,3.3,364,-3.7,5.8,3.3,41821
1606989600,0.7,354.5,-1.3,1.5,-2.7,3.4,363,-3.7,6.9,3.9,35084
1606993200,0.7,354.5,-1.8,1.6,-2.4,3.6,360,-4.2,5.8,3.9,36148
1606996800,0.7,354.6,-1.4,1.9,-2.4,3.4,361,-4.3,5.8,4.1,37464
1607000400,0.7,354.6,0.3,0.4,-3,3.4,366,-4.4,3.5,5.3,20893
1607004000,0.7,354.7,1,-1.4,-2.9,3.3,367,-4,2.7,7.8,12204
1607007600,0.7,354.7,0.4,-0.2,-3.5,3.7,361,-4.4,3,7.8,15033
1607011200,0.7,354.7,-1.9,3.8,-1.8,4.8,359,-3.5,1.8,2.6,22506
1607014800,0.7,354.8,-2.2,4.4,0.7,5,360,-2.6,0.1,1.7,26738
1607018400,0.7,354.8,-3.3,3.7,0.1,5.1,353,-2.5,1.6,1.4,53165
1607022000,0.7,354.9,-3.2,4.3,1,5.4,361,-3.3,2.7,1.3,83745
1607025600,0.6,354.9,-3.9,2.4,2.8,5.5,348,-0.8,-0.4,1.4,70018
1607029200,0.6,355,-3.8,2.9,2.3,5.6,335,-0.9,2.7,0.9,74210
1607032800,0.6,355,-2,2.2,4.6,5.6,365,4.1,-1.2,1.1,90687
1607036400,0.6,355,-3.4,3.3,2.7,5.7,334,-0.9,2.5,1,77178
1607040000,0.6,355.1,-2.7,3,2.8,5.6,349,0,1.4,1,85691
1607043600,0.6,355.1,-2.3,3.4,3.7,5.6,357,2.9,2.2,1,77135
1607047200,0.6,355.2,-1.7,3.9,3.5,5.7,364,2,3.2,0.9,69368
1607050800,0.6,355.2,-3,4.5,1.6,5.8,342,-4,7.1,0.8,61967
1607054400,0.6,355.2,-4.3,2.8,0.4,5.5,307,-3.8,-0.4,0.9,75504
1607058000,0.6,355.3,-4.3,2.8,2,5.6,305,-2.4,-0.6,0.8,58816
1607061600,0.6,355.3,-3.3,4,1.9,5.5,327,-0.9,3.5,0.9,61180
1607065200,0.6,355.4,-2.9,4.4,1.3,5.5,333,-2.9,4.7,1,72548
1607068800,0.6,355.4,-3.7,3.8,0.9,5.5,318,-3.9,3.3,0.9,65438
1607072400,0.6,355.5,-4.7,3.1,-0.3,5.7,299,-8.3,1.2,1.1,87747
1607076000,0.6,355.5,-2.2,5,1.1,6.1,329,-6.4,3.5,1,89772
1607079600,0.6,355.5,-2.3,5.2,0,6,341,-8.2,4,1.2,116652
1607083200,0.6,355.6,-3.1,5.1,-0.1,6.3,326,-7.8,4.3,1,32266
1607086800,0.6,355.6,-1.2,6.2,1.3,6.7,347,-2.7,4.7,1.1,58668
1607090400,0.6,355.7,-3.6,5.3,-0.7,6.6,318,-8.2,3.6,1,51546
1607094000,0.5,355.7,-1.6,6.1,0.2,6.5,340,-5.5,5.3,1.1,94912
1607097600,0.5,355.8,-3.3,5.1,0.5,6.2,324,-2.8,5.6,1,62699
1607101200,0.5,355.8,-3.6,4.4,0.7,6.2,306,-3.5,2.9,1,61761
1607104800,0.5,355.8,-3.4,5.3,0.3,6.3,313,-4.9,5.5,1,54628
1607108400,0.5,355.9,-4.8,3.5,-1.2,6.3,291,-8.3,1.2,1.1,83110
1607112000,0.5,355.9,-6,2,-0.4,6.4,275,-5.9,-2.8,1.1,88710
1607115600,0.5,356,-5.7,2.9,0.3,6.5,272,-3.8,-2.5,1.1,66754
1607119200,0.5,356,-5.9,1.7,0.7,6.2,265,-1.8,-5.4,1,67384
1607122800,0.5,356,-6,1.2,1.1,6.3,268,1.4,-8.1,1.1,76307
1607126400,0.5,356.1,-5.6,-0.8,0.8,6.1,295,3,-13.3,1.3,86425
1607130000,0.5,356.1,-5,2.5,1.4,6,296,5.7,-1.8,1.3,55780
1607133600,0.5,356.2,-4.9,3.7,-0.3,6.3,288,0.5,2.4,1.5,67689
1607137200,0.5,356.2,-6.2,1.8,0.4,6.5,280,0.2,-0.3,1.7,61733
1607140800,0.5,356.3,-6,2.1,0.3,6.5,280,-0.5,0,2.2,51338
1607144400,0.5,356.3,-5.2,3.4,-0.4,6.4,289,-1.6,4.4,2.4,34237
1607148000,0.5,356.3,-5,3.6,-0.4,6.3,291,-1.3,5.2,2.2,32824
1607151600,0.5,356.4,-3.6,4.5,1.6,6.6,314,3.2,6.8,2.6,31889
1607155200,0.5,356.4,-2.6,5.2,0.8,6.7,331,0.7,9.3,2.2,44293
1607158800,0.4,356.5,-2.8,4.3,-3.8,6.9,332,-3.9,7.8,1.4,44156
1607162400,0.4,356.5,-2.2,5.4,-4.1,7.2,332,-7.6,8.4,1.7,19444
1607166000,0.4,356.5,-2.6,4.4,-3.3,7.2,342,-5.1,6,1.2,43389
1607169600,0.4,356.6,-2.7,3.5,-3.3,6.7,365,-0.1,5.2,1.8,85493
1607173200,0.4,356.6,2.5,2.9,4.4,6.2,402,7.8,3.1,4.3,38110
1607176800,0.4,356.7,2.6,2.1,5.4,6.5,391,5.8,1.8,4.1,29967
1607180400,0.4,356.7,1.7,0.5,3.4,5.2,375,0.6,-1.4,4.8,70858
1607184000,0.4,356.8,2.4,-3.6,1.9,5,376,1.1,-1.2,5.3,57572
1607187600,0.4,356.8,0.5,1.4,1,2.3,374,1.3,-0.1,6.8,92827
1607191200,0.4,356.8,-0.9,-1.7,-1,2.6,371,0.6,0.5,8.3,49810
1607194800,0.4,356.9,-2.6,-2.2,-1.7,4.1,371,0,0.5,7.9,38370
1607198400,0.4,356.9,-0.2,0.5,-1.7,3.3,366,-0.6,-1,8.5,35559
1607202000,0.4,357,1.7,3,-0.1,4.1,367,-1.1,-1.4,6.3,46837
